Food Item,Food Type,Cuisine,Taste Notes,Texture,Prep Time,Budget,Social Context,User Mood
Idli,Light Meal,South Indian,Mild Savoury,"Soft, Steamed",Moderate,Cheap,"Family, Alone","Usual meal, Comfort eating,"
Dosa,Meal,South Indian,Mild Savoury,"Crispy, Roasted",Quick,Cheap,"Family, Alone",Usual meal
Medu Vada,Snack,South Indian,Mild Savoury,"Crispy, Fried",Moderate,Cheap,"Family, Alone",Cravings
Uttapam,Light Meal,South Indian,Mild Savoury,"Soft & Crispy, Roasted",Moderate,Cheap–Moderate,"Family, Alone",Usual meal
Appam,Meal,South Indian,Mild Savoury,Soft & Crispy,Moderate,Moderate,"Family, Alone","Cravings, Celebration"
Pongal,Light Meal,South Indian,Mild Savoury,Soft & Mushy,Moderate,Cheap,"Family, Alone",Usual meal
Poori Masala,Meal,South Indian,Mild Savoury,"Soft & Crispy, Fried",Moderate,Cheap–Moderate,"Family, Alone",Cravings
Parotta Kurma,Meal,South Indian,Mild Savoury,"Soft & Crispy, Fried / Roasted",Elaborate,Moderate,"Family, Alone",Cravings
Upma,Light Meal,South Indian,Mild Savoury,Soft & Mushy,Quick,Cheap,"Family, Alone",Usual meal
Rava Idli,Light Meal,South Indian,Mild Savoury,"Soft, Steamed",Moderate,Cheap,"Family, Alone",Usual meal
Masala Vada,Snack,South Indian,Mild Savoury,"Crispy, Fried",Moderate,Cheap,"Family, Alone",Cravings
Bonda,Snack,South Indian,Mild Savoury,"Crispy, Fried",Moderate,Cheap,"Family, Alone",Cravings
Poha,Light Meal,Maharashtrian,"Mild Savoury, Tangy",Soft & Crunchy,Quick,Cheap,"Family, Alone",Usual meal
Pav Bhaji,Light Meal,Maharashtrian,Tangy & Spicy,Soft,Moderate,Cheap–Moderate,"Family, Alone, Group/Party, Street Food","Cravings, Comfort eating"
Misal Pav,Snack,Maharashtrian,Tangy & Spicy,Soft,Moderate,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Dabeli,Snack,Maharashtrian,Sweet & Spicy,Soft & Crunchy,Moderate,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Vada Pav,Snack,Maharashtrian,Spicy Savoury,Soft & Crunchy,Quick,Cheap,"Family, Alone, Group/Party, Street Food","Cravings, Comfort eating"
Kathi Roll,Meal,North Indian ,Spicy Savoury,Soft & Crispy,Moderate,Moderate,"Family, Alone, Group/Party, Street Food",Cravings
Bhel Puri,Snack,Maharashtrian,"Tangy, Sweet & Spicy",Crunchy,Quick,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Pani Puri,Snack,Pan-Indian,Tangy & Spicy,Crunchy,Quick,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Dahi Papdi Chaat,Snack,North Indian,"Tangy, Sweet & Spicy",Crunchy,Quick,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Aloo Tikki Chaat,Snack,North Indian,"Tangy, Sweet & Spicy",Crunchy,Moderate,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Ragda Pattice,Snack,Maharashtrian,"Tangy, Sweet & Spicy",Crunchy,Moderate,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Masala Papad,Snack,North Indian,Tangy & Spicy,Crunchy,Quick,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Samosa,Snack,North Indian,Mild Savoury,"Crispy, Fried",Moderate,Cheap,"Family, Alone, Group/Party, Street Food",Usual Snack
Puff/Patty,Snack,North Indian,Mild Savoury,"Crispy, Fried / Baked",Moderate,Cheap,"Family, Alone, Group/Party, Street Food",Usual Snack
Bread Pakora,Snack,North Indian,Mild Savoury,"Crispy, Fried",Quick,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Mirchi Vada,Snack,Maharashtrian,Spicy Savoury,"Crispy, Fried",Quick,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Kachori,Snack,Rajasthani (North Indian),Mild Savoury,"Crispy, Fried",Moderate,Cheap,"Family, Alone, Group/Party, Street Food",Cravings
Khaman / Dhokla,Snack,Gujarati,Sweet & Savoury,"Soft, Steamed",Moderate,Cheap,"Family, Group/Party",Usual Snack
